Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
379991,9.59,-1.70,2.84,0.03,-0.03,-0.06,fall_forward
380010,9.39,-1.61,3.00,0.04,-0.02,-0.06,fall_forward
380030,9.47,-1.63,3.14,0.01,-0.04,-0.05,fall_forward
380050,9.53,-1.64,2.97,-0.02,-0.03,-0.06,fall_forward
380070,9.50,-1.65,2.91,-0.01,-0.02,-0.06,fall_forward
380090,9.51,-1.67,2.87,0.01,-0.03,-0.06,fall_forward
380110,9.59,-1.65,3.07,0.00,-0.04,-0.06,fall_forward
380130,9.65,-1.73,2.87,0.01,-0.02,-0.05,fall_forward
380150,9.51,-1.66,2.98,0.03,-0.00,-0.05,fall_forward
380170,9.54,-1.60,3.12,0.01,0.01,-0.05,fall_forward
380190,9.50,-1.70,2.96,0.00,-0.01,-0.05,fall_forward
380210,9.55,-1.64,2.90,0.02,-0.04,-0.04,fall_forward
380230,9.47,-1.59,2.95,0.03,-0.03,-0.04,fall_forward
380250,9.53,-1.62,3.05,0.02,-0.03,-0.04,fall_forward
380270,9.46,-1.58,3.13,0.01,-0.03,-0.04,fall_forward
380290,9.52,-1.56,3.06,0.00,-0.04,-0.03,fall_forward
380310,9.57,-1.56,3.04,0.01,-0.04,-0.04,fall_forward
380330,9.61,-1.58,2.94,0.01,-0.04,-0.03,fall_forward
380350,9.49,-1.68,2.94,0.00,-0.03,-0.03,fall_forward
380370,9.49,-1.58,3.02,0.01,-0.02,-0.03,fall_forward
380390,9.50,-1.63,2.98,0.02,-0.04,-0.03,fall_forward
380410,9.54,-1.57,3.04,0.01,-0.03,-0.03,fall_forward
380430,9.50,-1.60,3.10,-0.01,-0.02,-0.04,fall_forward
380450,9.56,-1.58,2.97,-0.02,-0.02,-0.03,fall_forward
380470,9.56,-1.56,2.84,-0.03,-0.01,-0.03,fall_forward
380490,9.42,-1.63,2.97,-0.01,0.01,-0.04,fall_forward
380510,9.39,-1.60,3.10,-0.01,-0.01,-0.05,fall_forward
380530,9.61,-1.51,3.10,-0.02,-0.03,-0.03,fall_forward
380550,9.40,-1.47,3.24,-0.03,-0.05,-0.03,fall_forward
380570,9.53,-1.52,2.96,-0.05,-0.02,-0.04,fall_forward
380590,9.60,-1.61,2.98,-0.01,-0.06,-0.05,fall_forward
380610,9.51,-1.60,2.99,-0.01,-0.03,-0.04,fall_forward
380630,9.41,-1.57,3.01,-0.02,-0.03,-0.04,fall_forward
380650,9.53,-1.55,3.13,-0.04,-0.02,-0.05,fall_forward
380670,9.53,-1.60,3.00,-0.03,-0.02,-0.04,fall_forward
380690,9.53,-1.65,3.00,-0.01,-0.02,-0.04,fall_forward
380710,9.55,-1.57,3.01,-0.00,-0.02,-0.04,fall_forward
380730,9.60,-1.49,3.07,-0.02,0.01,-0.04,fall_forward
380750,9.52,-1.65,2.98,-0.00,-0.00,-0.03,fall_forward
380770,9.49,-1.60,3.10,0.00,-0.01,-0.03,fall_forward
380790,9.55,-1.56,3.04,-0.01,-0.01,-0.03,fall_forward
380810,9.56,-1.60,3.05,-0.01,-0.01,-0.03,fall_forward
380830,9.55,-1.55,3.05,-0.00,-0.01,-0.03,fall_forward
380850,9.49,-1.56,3.05,-0.01,-0.03,-0.03,fall_forward
380870,9.48,-1.55,2.92,-0.00,-0.03,-0.02,fall_forward
380890,9.51,-1.51,2.99,-0.01,-0.02,-0.03,fall_forward
380910,9.49,-1.51,3.07,-0.03,-0.03,-0.03,fall_forward
380930,9.58,-1.54,3.07,-0.03,-0.03,-0.04,fall_forward
380950,9.60,-1.52,3.04,-0.03,-0.04,-0.03,fall_forward
380970,9.49,-1.55,3.15,-0.04,-0.04,-0.03,fall_forward
380990,9.52,-1.59,3.04,-0.04,-0.05,-0.03,fall_forward
381010,9.58,-1.53,3.02,-0.04,-0.04,-0.04,fall_forward
381030,9.50,-1.58,3.10,-0.04,-0.04,-0.03,fall_forward
381050,9.44,-1.51,3.07,-0.05,-0.03,-0.04,fall_forward
381070,9.45,-1.54,3.05,-0.05,-0.03,-0.03,fall_forward
381090,9.50,-1.51,3.11,-0.07,-0.03,-0.04,fall_forward
381110,9.52,-1.59,2.94,-0.05,-0.01,-0.04,fall_forward
381130,9.54,-1.61,3.14,-0.04,-0.04,-0.04,fall_forward
381150,9.52,-1.52,3.17,-0.05,0.00,-0.04,fall_forward
381170,9.46,-1.55,3.04,-0.05,-0.04,-0.03,fall_forward
381190,9.61,-1.54,3.03,-0.10,-0.00,-0.04,fall_forward
381210,9.51,-1.64,3.07,-0.08,-0.03,-0.05,fall_forward
381230,9.58,-1.56,3.09,-0.04,-0.02,-0.04,fall_forward
381250,9.44,-1.53,3.07,-0.06,-0.03,-0.03,fall_forward
381270,9.52,-1.62,3.03,-0.07,-0.02,-0.03,fall_forward
381290,9.63,-1.58,3.11,-0.08,-0.01,-0.03,fall_forward
381310,9.55,-1.56,3.00,-0.07,-0.02,-0.03,fall_forward
381330,9.52,-1.64,3.04,-0.05,-0.02,-0.03,fall_forward
381350,9.55,-1.56,3.01,-0.06,0.00,-0.03,fall_forward
381370,9.48,-1.68,2.86,-0.03,0.00,-0.02,fall_forward
381390,9.51,-1.58,3.10,-0.03,-0.01,-0.02,fall_forward
381410,9.46,-1.57,3.02,-0.06,-0.01,-0.02,fall_forward
381430,9.51,-1.58,2.98,-0.06,-0.01,-0.03,fall_forward
381450,9.50,-1.65,3.02,-0.05,-0.02,-0.02,fall_forward
381470,9.47,-1.64,3.03,-0.04,-0.01,-0.02,fall_forward
381490,9.45,-1.58,3.09,-0.04,-0.02,-0.02,fall_forward
381510,9.46,-1.59,3.03,-0.04,-0.03,-0.02,fall_forward
381530,9.53,-1.53,3.12,-0.06,-0.03,-0.03,fall_forward
381550,9.44,-1.53,3.05,-0.06,-0.04,-0.03,fall_forward
381570,9.51,-1.55,2.98,-0.06,-0.04,-0.03,fall_forward
381590,9.42,-1.58,2.97,-0.05,-0.05,-0.03,fall_forward
381610,9.46,-1.61,3.11,-0.06,-0.05,-0.04,fall_forward
381630,9.49,-1.59,3.01,-0.07,-0.05,-0.04,fall_forward
381650,9.49,-1.60,2.97,-0.06,-0.04,-0.05,fall_forward
381670,9.51,-1.62,3.00,-0.05,-0.03,-0.04,fall_forward
381690,9.51,-1.60,2.95,-0.05,-0.05,-0.04,fall_forward
381710,9.45,-1.52,3.05,-0.06,-0.05,-0.04,fall_forward
381730,9.50,-1.67,2.93,-0.08,-0.06,-0.05,fall_forward
381750,9.40,-1.69,2.95,-0.04,-0.03,-0.06,fall_forward
381770,9.65,-1.44,3.18,-0.06,-0.05,-0.06,fall_forward
381790,9.49,-1.66,2.89,-0.06,-0.08,-0.04,fall_forward
381810,9.47,-1.61,3.22,-0.10,-0.10,-0.07,fall_forward
381835,9.48,-1.68,2.67,-0.10,-0.04,-0.06,fall_forward
381854,9.56,-1.72,2.83,-0.04,-0.05,-0.05,fall_forward
381874,9.47,-1.60,3.00,-0.01,-0.03,-0.04,fall_forward
381894,9.49,-1.67,3.07,-0.05,-0.03,-0.04,fall_forward
381914,9.59,-1.66,2.98,-0.06,-0.03,-0.04,fall_forward
381934,9.56,-1.66,3.01,-0.05,-0.02,-0.04,fall_forward
381954,9.49,-1.74,2.80,-0.03,-0.03,-0.04,fall_forward
381974,9.55,-1.68,2.99,-0.03,-0.03,-0.04,fall_forward
381994,9.48,-1.64,3.02,-0.02,-0.02,-0.04,fall_forward
382014,9.44,-1.60,2.90,-0.03,0.00,-0.03,fall_forward
382034,9.44,-1.66,2.92,-0.04,-0.01,-0.04,fall_forward
382054,9.50,-1.70,2.90,-0.03,-0.00,-0.04,fall_forward
382074,9.49,-1.69,2.91,0.01,-0.02,-0.03,fall_forward
